title,company,location,minsalary,maxsalary,link
机械工程师,上海千牛农业机械有限公司,上海-崇明区,5000.0,8000.0,http://jobs.51job.com/shanghai-cmq/90077613.html?s=01&t=0
机械工程师,上海松科快换自动化股份有限公司,上海,4500.0,6000.0,http://jobs.51job.com/shanghai/75016572.html?s=01&t=0
机械工程师,上海博灼包装机械有限公司,上海,6000.0,10000.0,http://jobs.51job.com/shanghai/71211145.html?s=01&t=0
机械工程师,上海企可机械自动化技术有限公司,上海-浦东新区,5000.0,12000.0,http://jobs.51job.com/shanghai-pdxq/66941853.html?s=01&t=0
招机械工程师,上海顶赛自动化设备有限公司,上海,5000.0,15000.0,http://jobs.51job.com/shanghai/64906426.html?s=01&t=0
机械工程师,上海旭和环境设备有限公司,上海-闵行区,6000.0,8000.0,http://jobs.51job.com/shanghai-mhq/17970088.html?s=01&t=0
机械工程师,比勒（上海）自动化技术有限公司,上海,8000.0,10000.0,http://jobs.51job.com/shanghai/96531960.html?s=01&t=0
机械工程师,浙江建科减震科技有限公司,异地招聘,583.33,1250.0,http://jobs.51job.com/shaoxing/90045726.html?s=01&t=0
机械工程师,辽宁萨德换热设备制造有限公司,上海,6000.0,8000.0,http://jobs.51job.com/shanghai/66932067.html?s=01&t=0
机械工程师（实验研发）,上海科华生物工程股份有限公司,上海-徐汇区,10000.0,16000.0,http://jobs.51job.com/shanghai-xhq/94834202.html?s=01&t=0
机械工程师（设计、工艺）,江苏远业液压机械有限公司,异地招聘,5000.0,8000.0,http://jobs.51job.com/nantong/86827653.html?s=01&t=0
机械工程师-电梯行业,豪乐奥机械设备(上海)有限公司,上海-松江区,8000.0,11000.0,http://jobs.51job.com/shanghai-sjq/96941756.html?s=01&t=0
非标自动化装配线设计机械工程师,上海欧迎自动化设备有限公司,上海-嘉定区,4000.0,15000.0,http://jobs.51job.com/shanghai-jdq/88008190.html?s=01&t=0
结构工程师助理/机械工程师助理,上海司豪电子商务有限公司,上海-嘉定区,4500.0,6000.0,http://jobs.51job.com/shanghai-jdq/97858667.html?s=01&t=0
机械工程师,上海诚勤刀具有限公司,上海-嘉定区,6000.0,8000.0,http://jobs.51job.com/shanghai-jdq/88064643.html?s=01&t=0
立体车库机械工程师,上海爱登堡电梯集团股份有限公司,上海-闵行区,,,http://jobs.51job.com/shanghai-mhq/55421067.html?s=01&t=0
高级机械工程师,宝群电子科技（上海）有限公司,上海-徐汇区,1250.0,1666.67,http://jobs.51job.com/shanghai-xhq/62528575.html?s=01&t=0
机械工程师,上海波宝仟赫科技股份有限公司,上海-浦东新区,6000.0,8000.0,http://jobs.51job.com/shanghai-pdxq/76040158.html?s=01&t=0
自动化机械工程师,上海一得自动化设备有限公司,上海-浦东新区,6000.0,8000.0,http://jobs.51job.com/shanghai-pdxq/96737771.html?s=01&t=0
机械工程师,上海韵申新能源科技有限公司,上海-松江区,6000.0,10000.0,http://jobs.51job.com/shanghai-sjq/92747973.html?s=01&t=0
机械工程师 - 嘉定（赴Honeywell）,上海微创软件股份有限公司,上海,10000.0,16000.0,http://jobs.51job.com/shanghai/97147733.html?s=01&t=0
机械工程师/机电工程师/研发工程师,宣邦智能科技（上海）有限公司,上海-奉贤区,6000.0,10000.0,http://jobs.51job.com/shanghai-fxq/93423324.html?s=01&t=0
机械工程师（医疗）Mechanical Engineer,上海萌黎国际贸易有限公司,上海,10000.0,13000.0,http://jobs.51job.com/shanghai/95965218.html?s=01&t=0
机械工程师,上海林内有限公司,上海-奉贤区,4500.0,6000.0,http://jobs.51job.com/shanghai-fxq/92332870.html?s=01&t=0
机械工程师,上海宗峰机电设备有限公司,上海-闵行区,5000.0,8000.0,http://jobs.51job.com/shanghai-mhq/51302577.html?s=01&t=0
机械工程师,上海赛东科技有限公司,异地招聘,6000.0,15000.0,http://jobs.51job.com/guangzhou-byq/47564863.html?s=01&t=0
物流仓储机械工程师,上海乾承机械设备有限公司,上海-松江区,10000.0,15000.0,http://jobs.51job.com/shanghai-sjq/91038141.html?s=01&t=0
机械工程师（周浦）,上海精智实业股份有限公司,上海-浦东新区,8000.0,12000.0,http://jobs.51job.com/shanghai-pdxq/94813166.html?s=01&t=0
机械工程师,上海启发电子科技有限公司,上海,6000.0,8000.0,http://jobs.51job.com/shanghai/93091357.html?s=01&t=0
机械工程师,上海永疆环保能源科技有限公司,上海-闵行区,6000.0,8000.0,http://jobs.51job.com/shanghai-mhq/60943171.html?s=01&t=0
工事担当（电气/机械工程师）,上海丸优贸易有限公司,上海-长宁区,6000.0,8000.0,http://jobs.51job.com/shanghai-cnq/97902649.html?s=01&t=0
模具工程师、结构工程师、机械工程师,上海六普模具科技有限公司,上海-嘉定区,5000.0,8000.0,http://jobs.51job.com/shanghai-jdq/65032553.html?s=01&t=0
机械与动力工程学院能源研究院招聘机械工程师人员,上海交通大学机械与动力工程学院,上海-闵行区,500.0,833.33,http://jobs.51job.com/shanghai-mhq/87021885.html?s=01&t=0
机械工程师,上海多司自动化设备有限公司,上海-闵行区,4000.0,8000.0,http://jobs.51job.com/shanghai-mhq/86962315.html?s=01&t=0
设备机械工程师-上海J10121,上汽通用汽车有限公司,上海-浦东新区,,,http://jobs.51job.com/shanghai-pdxq/97690829.html?s=01&t=0
资深机械工程师（AGV）,上海晨兴希姆通电子科技有限公司,上海-青浦区,10000.0,15000.0,http://jobs.51job.com/shanghai-qpq/91674394.html?s=01&t=0
研发部-机械工程师,香港基因有限公司,上海-闵行区,6000.0,8000.0,http://jobs.51job.com/shanghai-mhq/73981761.html?s=01&t=0
自动化机械工程师,上海欣锐实业有限公司,上海,6000.0,8000.0,http://jobs.51job.com/shanghai/95639393.html?s=01&t=0
高级机械工程师-非标自动化（新能源汽车）(J10060),昂华（上海）自动化工程股份有限公司,上海-浦东新区,9000.0,13000.0,http://jobs.51job.com/shanghai-pdxq/90027285.html?s=01&t=0
机械工程师（应届生）,上海优爱宝智能机器人科技股份有限公司,上海-浦东新区,4500.0,6000.0,http://jobs.51job.com/shanghai-pdxq/66771520.html?s=01&t=0
机械工程师,上海创幸计算机科技有限公司,上海,6000.0,8000.0,http://jobs.51job.com/shanghai/78792152.html?s=01&t=0
机械工程师,宁波江宸智能装备股份有限公司,上海-松江区,15000.0,20000.0,http://jobs.51job.com/shanghai-sjq/94306773.html?s=01&t=0
机械工程师,罗美特（上海）自动化仪表股份有限公司,上海-奉贤区,6000.0,8000.0,http://jobs.51job.com/shanghai-fxq/94878891.html?s=01&t=0
机械工程师（建筑智能）,上海迦倍机电科技有限公司,上海-宝山区,7000.0,10000.0,http://jobs.51job.com/shanghai-bsq/66811511.html?s=01&t=0
自动化机械工程师,上海宝狮节能科技有限公司,上海-青浦区,6000.0,10000.0,http://jobs.51job.com/shanghai-qpq/86659310.html?s=01&t=0
